epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1938.1,2.0994,1.42511,2.04475,0.62835,0.58515,0.58788,0.1589,2.55922,1.52699,2.27093,0.000857608,0.000857608,0.000857608
43,1980.97,2.06979,1.45658,2.12062,0.66295,0.59389,0.65372,0.21344,2.33037,1.34109,2.16031,0.000831754,0.000831754,0.000831754
44,2025.3,2.0662,1.45242,2.10895,0.65968,0.62009,0.63072,0.16923,2.50666,1.7058,2.25281,0.000805806,0.000805806,0.000805806
45,2069.08,2.09599,1.44105,2.08541,0.60705,0.59389,0.6016,0.17483,2.42154,1.5062,2.20806,0.000779794,0.000779794,0.000779794
46,2112.79,2.05125,1.42352,2.07606,0.66565,0.62664,0.67053,0.20843,2.33872,1.41321,2.20335,0.00075375,0.00075375,0.00075375
47,2158.13,2.05218,1.39374,2.09684,0.64318,0.70449,0.69603,0.25679,2.15368,1.24976,2.09667,0.000727706,0.000727706,0.000727706
48,2203.12,2.04374,1.3816,2.06,0.61129,0.61572,0.608,0.19522,2.37605,1.31422,2.193,0.000701694,0.000701694,0.000701694
49,2246.16,2.0597,1.42603,2.09413,0.62431,0.60044,0.58111,0.15687,2.48439,1.63865,2.22669,0.000675746,0.000675746,0.000675746
50,2290.59,2.05424,1.42042,2.07568,0.63758,0.55022,0.57902,0.16869,2.46892,1.34987,2.24617,0.000649892,0.000649892,0.000649892
51,2334.43,2.01451,1.39772,2.07168,0.65859,0.67389,0.66659,0.21193,2.26865,1.36953,2.126,0.000624165,0.000624165,0.000624165
52,2377.87,2.02712,1.35162,2.07582,0.63375,0.62009,0.61631,0.19929,2.3031,1.3858,2.15278,0.000598596,0.000598596,0.000598596
53,2422.73,2.00695,1.3447,2.07738,0.70887,0.63537,0.68848,0.23987,2.19486,1.23394,2.10852,0.000573216,0.000573216,0.000573216
54,2467.66,2.01866,1.38597,2.05987,0.63286,0.61354,0.62238,0.21161,2.25108,1.46209,2.11603,0.000548056,0.000548056,0.000548056
55,2510.67,2.0189,1.34613,2.04254,0.69838,0.63755,0.67041,0.21463,2.30598,1.27151,2.141,0.000523146,0.000523146,0.000523146
56,2554.48,2.03779,1.36133,2.08512,0.66766,0.64043,0.64449,0.2046,2.31426,1.37547,2.13771,0.000498517,0.000498517,0.000498517
57,2598.97,2.01577,1.34715,2.05942,0.74141,0.67249,0.74644,0.28656,2.105,1.19136,2.05796,0.0004742,0.0004742,0.0004742
58,2642.79,2.01325,1.3652,2.09773,0.71638,0.64192,0.71561,0.2592,2.18944,1.22081,2.09462,0.000450223,0.000450223,0.000450223
59,2687.23,2.02343,1.34185,2.06975,0.71952,0.65534,0.70916,0.24337,2.24545,1.2366,2.12638,0.000426616,0.000426616,0.000426616
60,2731.51,1.98352,1.2804,2.03314,0.69874,0.64629,0.70287,0.24691,2.14472,1.20974,2.0674,0.000403407,0.000403407,0.000403407
61,2777.66,1.97486,1.33387,2.05273,0.71871,0.66157,0.72248,0.26735,2.05897,1.13301,2.03992,0.000380625,0.000380625,0.000380625
62,2823.52,2.00282,1.36526,2.07912,0.66074,0.69869,0.71378,0.27233,2.00117,1.17923,2.02122,0.000358298,0.000358298,0.000358298
63,2868.11,1.97145,1.29063,2.0464,0.67271,0.69432,0.71275,0.27533,2.03465,1.22615,2.02679,0.000336452,0.000336452,0.000336452
64,2911.09,1.97162,1.28293,2.01122,0.69072,0.65939,0.69588,0.24833,2.09462,1.26148,2.05306,0.000315115,0.000315115,0.000315115
65,2955.71,1.94709,1.29225,2.03965,0.65244,0.62664,0.6573,0.27251,1.93685,1.14525,1.99648,0.000294313,0.000294313,0.000294313
66,2999.98,1.93721,1.24742,2.06532,0.71674,0.66376,0.71433,0.27408,2.02951,1.16365,2.02231,0.00027407,0.00027407,0.00027407
67,3043.76,1.94582,1.24051,2.02703,0.72583,0.70521,0.74226,0.2807,2.02992,1.1188,2.02612,0.000254411,0.000254411,0.000254411
68,3088.01,1.986,1.28395,2.03328,0.70958,0.72551,0.75149,0.28693,2.03827,1.15633,2.02726,0.000235361,0.000235361,0.000235361
69,3131.96,1.915,1.26282,2.05487,0.73631,0.70724,0.75819,0.28021,2.05348,1.16296,2.0358,0.000216943,0.000216943,0.000216943
70,3176.95,1.96664,1.24574,1.96287,0.72223,0.71179,0.75408,0.28801,2.0218,1.11357,2.01183,0.000199178,0.000199178,0.000199178
71,3221.32,1.73419,1.1133,2.0809,0.72792,0.6776,0.71807,0.23694,2.24834,1.1436,2.12264,0.000182089,0.000182089,0.000182089
